,movie,year,production_budget,domestic_gross,foreign_gross,worldwide_gross,month,profit,profit_margin,roi,pct_foreign,match_key,popularity,release_date,original_language,vote_average,vote_count,genre_list,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
13,Captain America: Civil War,2016,250000000,408084349,731985064,1140069413,5,890069413,0.7807151063353719,3.560277652,0.642053067693344,2016 Captain America: Civil War,39.137,2016-05-06,en,7.4,14000,"['Adventure', 'Action', 'Science Fiction']","Adventure,Action,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Batman v Superman: Dawn of Justice,2016,250000000,330360194,537140087,867500281,3,617500281,0.7118156553081277,2.470001124,0.6191814559193209,2016 Batman v Superman: Dawn of Justice,28.088,2016-03-25,en,5.8,11991,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,The Hobbit: An Unexpected Journey,2012,250000000,303003568,714000000,1017003568,12,767003568,0.7541798201439545,3.068014272,0.7020624336688659,2012 The Hobbit: An Unexpected Journey,26.939,2012-12-14,en,7.2,12076,"['Adventure', 'Fantasy', 'Action']","Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,The Hobbit: The Desolation of Smaug,2013,250000000,258366855,702000000,960366855,12,710366855,0.7396828111065953,2.84146742,0.7309706664126804,2013 The Hobbit: The Desolation of Smaug,21.275,2013-12-13,en,7.6,7739,"['Adventure', 'Fantasy', 'Action']","Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,The Hobbit: The Battle of the Five Armies,2014,250000000,255119788,690457833,945577621,12,695577621,0.7356113401503609,2.782310484,0.7301968845982238,2014 The Hobbit: The Battle of the Five Armies,53.783,2014-12-17,en,7.3,8392,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,The Fate of the Furious,2017,250000000,225764765,1009081502,1234846267,4,984846267,0.7975456486519872,3.939385068,0.8171717637787539,2017 The Fate of the Furious,28.668,2017-04-14,en,6.9,6335,"['Action', 'Crime', 'Thriller']","Action,Crime,Thriller",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,172558876,615682261,788241137,5,558241137,0.7082111181416303,2.4271353782608696,0.7810836457270562,2017 Pirates of the Caribbean: Dead Men Tell No Tales,28.101,2017-05-26,en,6.6,6931,"['Adventure', 'Action', 'Fantasy', 'Comedy']","Adventure,Action,Fantasy,Comedy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,The Avengers,2012,225000000,623279547,894656350,1517935897,5,1292935897,0.851772396683758,5.746381764444444,0.5893900735651422,2012 The Avengers,50.289,2012-05-04,en,7.6,19673,"['Science Fiction', 'Action', 'Adventure']","Science Fiction,Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Man of Steel,2013,225000000,291045518,376954000,667999518,6,442999518,0.6631734096550651,1.9688867466666666,0.5643028023861538,2013 Man of Steel,27.667,2013-06-14,en,6.5,9758,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,The Amazing Spider-Man,2012,220000000,262030663,495859604,757890267,7,537890267,0.7097205102384565,2.444955759090909,0.6542630583749138,2012 The Amazing Spider-Man,24.391,2012-07-04,en,6.5,10411,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Battleship,2012,220000000,65233400,248244317,313477717,5,93477717,0.2981957310860472,0.4248987136363636,0.7919041882010389,2012 Battleship,21.742,2012-05-18,en,5.6,3240,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","Thriller,Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
24,Transformers: The Last Knight,2017,217000000,130168683,472724657,602893340,6,385893340,0.6400690045771612,1.7783103225806451,0.7840933472577422,2017 Transformers: The Last Knight,24.258,2017-06-21,en,6.0,3255,"['Action', 'Science Fiction', 'Thriller', 'Adventure']","Action,Science Fiction,Thriller,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25,Jurassic World,2015,215000000,652270625,996584239,1648854864,6,1433854864,0.8696064737447989,6.669092390697674,0.6044099215514701,2015 Jurassic World,20.709,2015-06-12,en,6.6,14056,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","Action,Adventure,Science Fiction,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,Men in Black 3,2012,215000000,179020854,475192631,654213485,5,439213485,0.6713611001155074,2.042853418604651,0.7263571324886402,2012 Men in Black 3,26.176,2012-05-25,en,6.4,6398,"['Action', 'Comedy', 'Science Fiction']","Action,Comedy,Science Fiction",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Transformers: Age of Extinction,2014,210000000,245439076,858600000,1104039076,6,894039076,0.8097893411881374,4.2573289333333335,0.7776898650279295,2014 Transformers: Age of Extinction,20.961,2014-06-27,en,5.8,4805,"['Science Fiction', 'Action', 'Adventure']","Science Fiction,Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Robin Hood,2010,210000000,105487148,216971858,322459006,5,112459006,0.3487544274077431,0.5355190761904762,0.672866485236266,2010 Robin Hood,15.444,2010-05-14,en,6.3,2569,"['Action', 'Adventure', 'Drama']","Action,Adventure,Drama",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Black Panther,2018,200000000,700059566,648198658,1348258224,2,1148258224,0.8516604635226018,5.74129112,0.48076744236495755,2018 Black Panther,44.14,2018-02-16,en,7.4,12365,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,Incredibles 2,2018,200000000,608581744,633938967,1242520711,6,1042520711,0.8390368882953775,5.212603555,0.51020394379567,2018 Incredibles 2,36.286,2018-06-15,en,7.6,6354,"['Action', 'Adventure', 'Animation', 'Family']","Action,Adventure,Animation,Family",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Rogue One: A Star Wars Story,2016,200000000,532177324,516925532,1049102856,12,849102856,0.8093609231390749,4.24551428,0.4927310311316129,2016 Rogue One: A Star Wars Story,21.401,2016-12-16,en,7.5,9296,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Rogue One: A Star Wars Story,2016,200000000,532177324,516925532,1049102856,12,849102856,0.8093609231390749,4.24551428,0.4927310311316129,2016 Rogue One: A Star Wars Story,21.401,2016-12-16,en,7.5,9296,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Finding Dory,2016,200000000,486295561,534919632,1021215193,6,821215193,0.8041548917692218,4.106075965,0.5238069661190401,2016 Finding Dory,15.393,2016-06-17,en,7.0,7845,"['Adventure', 'Animation', 'Comedy', 'Family']","Adventure,Animation,Comedy,Family",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Toy Story 3,2010,200000000,415004880,653874642,1068879522,6,868879522,0.812888173191141,4.34439761,0.6117383938430434,2010 Toy Story 3,24.445,2010-06-17,en,7.7,8340,"['Animation', 'Family', 'Comedy']","Animation,Family,Comedy",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Iron Man 3,2013,200000000,408992272,806400000,1215392272,5,1015392272,0.8354440746353536,5.07696136,0.6634894910702542,2013 Iron Man 3,32.093,2013-05-03,en,6.9,14155,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Alice in Wonderland,2010,200000000,334191110,691300000,1025491110,3,825491110,0.8049714931219638,4.12745555,0.6741160340239322,2010 Alice in Wonderland,22.02,2010-03-05,en,6.6,8713,"['Family', 'Fantasy', 'Adventure']","Family,Fantasy,Adventure",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37,Alice in Wonderland,2010,200000000,334191110,691300000,1025491110,3,825491110,0.8049714931219638,4.12745555,0.6741160340239322,2010 Alice in Wonderland,0.6,2010-01-01,en,6.0,1,[None],None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Skyfall,2012,200000000,304360277,806166704,1110526981,11,910526981,0.8199053211477083,4.552634905,0.7259316682914524,2012 Skyfall,19.27,2012-11-09,en,7.1,10441,"['Action', 'Adventure', 'Thriller']","Action,Adventure,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,Monsters University,2013,200000000,268488329,475100000,743588329,6,543588329,0.7310339710832121,2.717941645,0.6389288016918296,2013 Monsters University,20.33,2013-06-21,en,7.0,6362,"['Animation', 'Family']","Animation,Family",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,Oz the Great and Powerful,2013,200000000,234770996,255588055,490359051,3,290359051,0.5921356002461143,1.451795255,0.5212263431841906,2013 Oz the Great and Powerful,13.377,2013-03-08,en,5.8,4829,"['Fantasy', 'Adventure', 'Family']","Fantasy,Adventure,Family",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,X-Men: Days of Future Past,2014,200000000,233921534,513941241,747862775,5,547862775,0.7325712594800563,2.739313875,0.6872132939094341,2014 X-Men: Days of Future Past,41.867,2014-05-23,en,7.5,10062,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,The Amazing Spider-Man 2,2014,200000000,202853933,506142403,708996336,5,508996336,0.7179110951004971,2.54498168,0.7138857809273643,2014 The Amazing Spider-Man 2,20.847,2014-05-02,en,6.4,7220,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Cars 2,2011,200000000,191450875,368704508,560155383,6,360155383,0.6429562116695753,1.800776915,0.6582182715541269,2011 Cars 2,23.498,2011-06-16,en,5.9,4058,"['Animation', 'Family', 'Adventure', 'Comedy']","Animation,Family,Adventure,Comedy",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Fantastic Beasts: The Crimes of Grindelwald,2018,200000000,159555901,492664185,652220086,11,452220086,0.6933550433465184,2.26110043,0.7553649382702391,2018 Fantastic Beasts: The Crimes of Grindelwald,48.508,2018-11-16,en,6.9,4870,['Adventure'],Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Green Lantern,2011,200000000,116601172,102934320,219535492,6,19535492,0.08898557505225624,0.09767746,0.4688732517109352,2011 Green Lantern,17.257,2011-06-17,en,5.1,4290,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","Adventure,Action,Thriller,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,Transformers: Dark of the Moon,2011,195000000,352390543,771400000,1123790543,6,928790543,0.8264801201481546,4.763028425641026,0.686426847783146,2011 Transformers: Dark of the Moon,5.339,2011-06-28,en,6.1,4961,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,The Mummy,2017,195000000,80101125,329852780,409953905,6,214953905,0.5243367665933076,1.1023277179487179,0.804609435297366,2017 The Mummy,18.53,2017-06-09,en,5.5,4391,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']","Fantasy,Thriller,Action,Adventure,Horror",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
48,Jack the Giant Slayer,2013,195000000,65187603,132500000,197687603,3,2687603,0.013595202527697197,0.013782579487179487,0.6702494136670776,2013 Jack the Giant Slayer,12.773,2013-03-01,en,5.6,3403,"['Action', 'Adventure', 'Family', 'Fantasy']","Action,Adventure,Family,Fantasy",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49,Furious 7,2015,190000000,353007020,1165715774,1518722794,4,1328722794,0.87489487828152,6.9932778631578945,0.7675632305022216,2015 Furious 7,20.396,2015-04-03,en,7.3,6538,"['Action', 'Crime', 'Thriller']","Action,Crime,Thriller",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,Star Trek Into Darkness,2013,190000000,228778661,238602923,467381584,5,277381584,0.5934799176854174,1.4599030736842105,0.5105098942024211,2013 Star Trek Into Darkness,20.487,2013-05-16,en,7.4,6182,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,World War Z,2013,190000000,202359711,329154939,531514650,6,341514650,0.6425310196059506,1.7974455263157896,0.619277265452608,2013 World War Z,14.582,2013-06-21,en,6.7,9132,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","Action,Drama,Horror,Science Fiction,Thriller",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
52,The Great Gatsby,2013,190000000,144840419,206200000,351040419,5,161040419,0.45875178550308193,0.847581152631579,0.5873967464698132,2013 The Great Gatsby,15.397,2013-05-10,en,7.4,7120,"['Drama', 'Romance']","Drama,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
53,Pacific Rim,2013,190000000,101802906,309200000,411002906,7,221002906,0.5377161639825486,1.1631731894736843,0.7523061162978736,2013 Pacific Rim,16.759,2013-07-12,en,6.8,7632,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,The Good Dinosaur,2015,187500000,123087120,210683917,333771037,11,146271037,0.43823765631288136,0.7801121973333334,0.6312228852858793,2015 The Good Dinosaur,17.675,2015-11-25,en,6.7,3135,"['Adventure', 'Animation', 'Family']","Adventure,Animation,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,The Good Dinosaur,2015,187500000,123087120,210683917,333771037,11,146271037,0.43823765631288136,0.7801121973333334,0.6312228852858793,2015 The Good Dinosaur,17.675,2015-11-25,en,6.7,3135,"['Adventure', 'Animation', 'Family']","Adventure,Animation,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Brave,2012,185000000,237282182,317324350,554606532,6,369606532,0.6664301818933499,1.997873145945946,0.5721612200557349,2012 Brave,18.908,2012-06-22,en,6.9,8116,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","Animation,Adventure,Comedy,Family,Action,Fantasy",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57,Kong: Skull Island,2017,185000000,168052812,393019247,561072059,3,376072059,0.6702740814972574,2.0328219405405403,0.700479093007196,2017 Kong: Skull Island,29.388,2017-03-10,en,6.3,6054,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,Star Trek Beyond,2016,185000000,158848340,176953893,335802233,7,150802233,0.4490804949471554,0.8151472054054054,0.5269586548580217,2016 Star Trek Beyond,19.142,2016-07-22,en,6.7,4275,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Blade Runner 2049,2017,185000000,92054159,167303249,259357408,10,74357408,0.2866986085857243,0.40193193513513514,0.6450683259450218,2017 Blade Runner 2049,48.571,2017-10-06,en,7.4,6679,"['Science Fiction', 'Action', 'Thriller']","Science Fiction,Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
60,Blade Runner 2049,2017,185000000,92054159,167303249,259357408,10,74357408,0.2866986085857243,0.40193193513513514,0.6450683259450218,2017 Blade Runner 2049,48.571,2017-10-06,en,7.4,6679,"['Science Fiction', 'Action', 'Thriller']","Science Fiction,Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
61,Thor: Ragnarok,2017,180000000,315058289,531921735,846980024,11,666980024,0.7874802298761181,3.7054445777777776,0.6280215824783135,2017 Thor: Ragnarok,43.45,2017-11-03,en,7.5,11380,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Thor: Ragnarok,2017,180000000,315058289,531921735,846980024,11,666980024,0.7874802298761181,3.7054445777777776,0.6280215824783135,2017 Thor: Ragnarok,43.45,2017-11-03,en,7.5,11380,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,Maleficent,2014,180000000,241407328,517129407,758536735,5,578536735,0.7627010114414564,3.2140929722222222,0.681746029083219,2014 Maleficent,19.274,2014-05-30,en,7.0,8143,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","Fantasy,Adventure,Action,Family,Romance",1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
64,Fantastic Beasts and Where to Find Them,2016,180000000,234037575,568365278,802402853,11,622402853,0.7756737786673846,3.457793627777778,0.7083290841688968,2016 Fantastic Beasts and Where to Find Them,28.563,2016-11-18,en,7.4,12152,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,Fantastic Beasts and Where to Find Them,2016,180000000,234037575,568365278,802402853,11,622402853,0.7756737786673846,3.457793627777778,0.7083290841688968,2016 Fantastic Beasts and Where to Find Them,28.563,2016-11-18,en,7.4,12152,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66,The Legend of Tarzan,2016,180000000,126643061,222258964,348902025,7,168902025,0.4840958575691844,0.9383445833333334,0.6370240012221196,2016 The Legend of Tarzan,14.797,2016-07-01,en,5.8,4102,"['Action', 'Adventure']","Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Hugo,2011,180000000,73864507,106183277,180047784,11,47784,0.00026539621281870373,0.00026546666666666665,0.589750535335664,2011 Hugo,12.936,2011-11-23,en,7.1,4124,"['Adventure', 'Drama', 'Family']","Adventure,Drama,Family",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,Valerian and the City of a Thousand Planets,2017,180000000,40479370,174618986,215098356,7,35098356,0.16317352048938952,0.19499086666666668,0.8118099517227365,2017 Valerian and the City of a Thousand Planets,24.003,2017-07-21,en,6.6,4149,"['Adventure', 'Science Fiction', 'Action']","Adventure,Science Fiction,Action",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Jupiter Ascending,2015,179000000,47482519,134500000,181982519,2,2982519,0.016389041191368497,0.016662117318435754,0.7390819774288321,2015 Jupiter Ascending,24.058,2015-02-27,en,5.3,4401,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","Science Fiction,Fantasy,Action,Adventure",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,X-Men: Apocalypse,2016,178000000,155442489,387095057,542537546,5,364537546,0.6719121076276627,2.047963741573034,0.7134898954993246,2016 X-Men: Apocalypse,39.293,2016-05-27,en,6.5,8348,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","Action,Adventure,Science Fiction,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
71,The Meg,2018,178000000,145443742,384086973,529530715,8,351530715,0.6638533045245544,1.9748916573033708,0.725334644657959,2018 The Meg,31.397,2018-08-10,en,5.9,2896,"['Action', 'Science Fiction', 'Thriller', 'Horror']","Action,Science Fiction,Thriller,Horror",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
72,Edge of Tomorrow,2014,178000000,100206256,270335000,370541256,6,192541256,0.5196216423468916,1.0816924494382023,0.7295678837986127,2014 Edge of Tomorrow,19.753,2014-06-06,en,7.6,8047,"['Action', 'Science Fiction']","Action,Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,The Jungle Book,2016,175000000,364001123,598853424,962854547,4,787854547,0.818248768159995,4.502025982857143,0.6219562714491704,2016 The Jungle Book,20.129,2016-04-15,en,6.8,5257,"['Adventure', 'Drama', 'Family', 'Fantasy']","Adventure,Drama,Family,Fantasy",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
74,Inside Out,2015,175000000,356461711,497774281,854235992,6,679235992,0.7951385780523282,3.881348525714286,0.5827128400836569,2015 Inside Out,24.797,2015-06-19,en,8.0,12691,"['Drama', 'Comedy', 'Animation', 'Family']","Drama,Comedy,Animation,Family",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
75,Spider-Man: Homecoming,2017,175000000,334201140,545965210,880166350,7,705166350,0.8011739485382507,4.029522,0.620297753941627,2017 Spider-Man: Homecoming,46.775,2017-07-07,en,7.4,11585,"['Action', 'Adventure', 'Science Fiction', 'Drama']","Action,Adventure,Science Fiction,Drama",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
76,Suicide Squad,2016,175000000,325100054,420959833,746059887,8,571059887,0.7654343799347035,3.2631993542857143,0.5642440242870208,2016 Suicide Squad,16.53,2016-08-05,en,5.9,13533,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","Action,Adventure,Crime,Fantasy,Science Fiction",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
77,Coco,2017,175000000,209726015,588282086,798008101,11,623008101,0.780703980597811,3.5600462914285713,0.7371881128309499,2017 Coco,25.961,2017-11-22,en,8.2,8669,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']","Animation,Family,Comedy,Adventure,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
